date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
03/21/2018,"STRENGTH","QoD: What is your favorite kind of chicken? (fried, grilled, blackened etc)- Strength: The intent today is to work up to a moderate load for a set of 6-8. You should feel your glutes working on each rep. Make sure you dont over-extend though and keep your chin tucked.1) Barbell Glute Bridge: 4 x 6-8, up to a heavy set. Squeeze glutes for a 1-2 count a top. Rest 90s.2) Metcon Prep:3 Sets as fast as possible adding weight to deadlift after each set.3 Touch n Go Deadlifts5 BurpeesRest 90s.",245,"245","Load","","[{""success"":true,""load"":245}]","",RX,
03/21/2018,"Chuck Taylors","- Metcon: Benchmark workout. Pacing should be around 80% for the first 6 minutes and 100% for the last 2. Deadlifts should be moderately heavy, but capable of being done UB. Last done on 12/8AMRAP 8:10 Deadlifts (225, 155)10 BurpeesL3: (185, 125)L2: (155, 105)L1: (135, 95)*Compare to Aug 21 & 12/8",5,"5","Rounds + Reps","","[{""rnds"":5,""reps"":0}]","",RX,
03/23/2018,"Open 18.5","QoD: When is the last time you competed in something?- Metcon: Open WOD 18.5. Be smart with your thrusters in terms of output. Break when you have to and keep your heart-rate at bay. C2B Pull-ups will be largely dependent on your ability, but break you sets well before fatigue sets in. Try to avoid getting to a place where youre staring at the bar waiting to recover.3 Rounds of:4 Thrusters (add weight each set building to Metcon weight)4 C2B Pull-ups (or Chin over bar)Rest 60-90s between rounds. These sets should be done at ""game speed""""Open WOD 18.5""AMRAP 7:3-6-9-12-15-18..etc adding 3 reps per roundThrusters (100, 65) (65, 45)C2B Pull-ups (Chin-over bar Pull-ups)Alternate Option:30 Minutes on the clock:15 Minutes of Max Meter Row15 Minutes of Max Distance Jog or Bike*All sets done at 70-80% of Max Effort*Score total distanceEXTRA CREDIT 10-15 Minutes of Low Effort Work @50-60% of Bike, Run, Ski Erg, or Row",48,"48","Reps","","[{""reps"":48}]","",RX,PR
03/24/2018,"FIELD DAY","QoD: Share your favorite memory from Filed Day at your school. IF you dont have one, share your favorite sandwich.- Field Day: The Open is over so were changing things up today with ""Field Day"". Today is intended to be fun a day and a change of pace, but still quite challenging. All tests of these tests you will see again and are great ways to measure our fitness. Overall, you can rest as much as needed in order and can complete these events in any order.PREP Review all Tests. All tests can be done in random order. Have athletes partner up for tests 1,2,4,5,6 to count each other reps/distance. Athletes will complete run test on their own so have a clock running.FIELD DAY ""Field Day""1) Max Distance Broad Jump: 3 Attempts*Broad jump is a test of power-output. NFL RB 10+ ft.2) Max UB Wallballs:*Test of mental capacity/endurance.3) Max Distance Run in 12:00 or Max Calories Row/Bike/or Ski Erg4) Max Push-ups in 60s.*Upper Body Endurance Test5) Max Sit-ups in 60s.*Hip Flexor/Abdominal Endurance Test6) Max Burpees in 60s.*If athletes finish early they can start ""extra credit""EXTRA CREDIT AMRAP 5:8 Zottaman Curls20 Bradford Presses30 ft. Overhead KB Carry each",2700,"2700","Reps","","[{""reps"":113},{""reps"":36},{""reps"":25},{""reps"":27},{""reps"":19},{""reps"":2700}]","",RX,
03/26/2018,"Back Squat 1x2","QoD: Where are you originally from & is there a (polite) nickname for people who come from there? - Strength: Build to a new 2RM in the Back Squat. The goal is to hit your current 1RM for 2 today. Take 6-8 sets and progressively build in weight increasing your rest interval as the weight gets heavier.Back Squat for load: #1: 2 repsSpend 20 mins1) Back Squat: 2RM. Rest 2:00- Build to a 2RM over the course of 6-8 sets.- Try to match your current 1RM for 2 Today- Beginner: 5 x 5, adding weight if form permits. Rest 2:002) Metcon Warm-up2 Sets at fast pace:5 Deadlifts4 Hang Power Cleans3 Squat Cleans*Start with a moderate weight. Round 2 should be the same weight you plan on using in the Metcon",265,"265","Load","Back Squat","[{""success"":true,""load"":265}]","",RX,
03/26/2018,"Southie","""Southie""For time:45 Deadlifts (155, 105)30 Hang Power Cleans (155, 105)15 Squat Cleans (155, 105)L3: (135, 95)L2: (115, 75)L1: (95, 65)10:00 CapBeginner Option:AMRAP 8:8 Deadlifts (135, 95)8 Goblet Squats (53, 35)8 Squat Thrusts*Compare to Mon, Nov 20th",540,"9:00","Time","","[{""secs"":0,""mins"":9}]","135lbs finished 85 reps",SCALED,
03/28/2018,"GPP","QoD: If your s/o were to give you a gift, would you want it to be 1. quality time w/them 2. a physical present, like an object 3. an activity/experience 4. a favor such as helping you with something that you would have had to do anyway?AMRAP 30 w. a partner:500 Meter Row (or 90s Bike)100 Meter Farmer Carry (70, 53)500 Meter Row (or 90s Bike)20 Goblet Squats (70, 53)*One person works. Split work evenly.*Alternate Workout Option:For max distance with a partner:0:00-15:00 Farmer Carry (70, 53)15:00-30:00 Max Trips 100 ft. Heavy Sled push*One person works. Split work however you choose.*Score = total distance accumulated for the entire 30 minutes.",4.064,"4+64","Rounds + Reps","","[{""rnds"":4,""reps"":64}]","",RX,
03/29/2018,"STRENGTH","QoD: Do you ever sing out loud? If so, where? If not, why?- Strength: Speed Front Squats/Sumo Deadlifts today. Both should only take about 3 sets of warm-up. We will go right from Front Squats to Sumo Deadlifts today. These sets should be fast/efficient and will be done EMOM style so your heart-rate should be pretty elevated.Spend 25 mins1) Speed Front Squat: 4 x 4 @70%, every 60s.2) Ultra Wide Sumo Deadlift: 4 x 3 @70%, every 60s.- Reset on each rep.- Beginner: Focus on Technique- Make sure your athletes are gripping the bar correctly (hand touching the knurling).3) T2B Warm-up x 5:00",245,"245","Load","","[{""success"":true,""load"":150},{""success"":true,""load"":245}]","",RX,
03/29/2018,"Abs of Steel","- Metcon: Todays ""Metcon"" is more of an accessory piece for the abs/lower body with the added incentive to hold onto the barbell longer to avoid doing burpees. Try to get your lunges done in no more than 3 sets. The weight you should choose should be heavy to complete 10 reps with. The strategy is key with T2B as Front Rack Lunges are already demanding on the core. Break sets early on T2B to avoid excessive fatigue.""Abs of Steel""For time:Buy in:50 T2BThen,50 Front Rack Walking Lunges (115, 75)*Every time you drop the bar complete 10 Bar Facing Burpees10:00 CapRx+:(135, 95)L3: (95, 65)L2: (Knee Lifts) (75, 55)L1: (Abmat Sit-ups) (Light Walking DB Lunges) (Regular Burpees)",600,"10:00","Time","","[{""secs"":0,""mins"":10}]","Finished 38 lunges. 🙄",RX,
03/30/2018,"Metcon","- Metcon: Today we are looking for maintaining all of our row intervals around 70-75% effort. BB Rows should be able to be completed in 2 sets or less. Dont push harder than 75% today and focus on efficient pacing.AMRAP 18:Row 400 MetersOverhead KB Carry x 100 Ft. (35s, 26s)10 Barbell Rows (135, 95)Rx+:(53s, 35s for OH Carry)L3: (115, 80)L2: (95, 65)L1: (95, 65 Barbell Rows in place of Hang Power Cleans)*Athlete choice on Overhead KB Carry weight if scaling*Alternate Options250m Row = 200m Run or 15/12 Calorie Bike or Ski Erg",5.4,"5+400","Rounds + Reps","","[{""rnds"":5,""reps"":400}]","🤢",RX,
03/30/2018,"STRENGTH","QoD: If you HAD to choose, would you rather be in the water with a bull shark or an alligator?- Strength: 9-speed sets of Bench press changing your grip every 3 sets from close, medium, and wide grip. All sets should be explosive so if youre ""grinding"" any of the reps youre missing the boat. Drop the load and move faster. The purpose with all speed work is developing force. This will apply to many other things we do in CrossFit.Spend 15 mins1) Speed Bench Press: 9 x 3 @50%, every 60s.- Change Grip every 3 sets ie. close, medium, and wide grip.- Use chains or bands if possible and drop the load to 40%.2) Banded Alphabet: 2 Sets on each side. Rest 60s.- Small letters with these + squeeze abs hard!",120,"120","Load","","[{""success"":true,""load"":120}]","",RX,
04/02/2018,"STRENGTH","QOD: What would be your ideal way to spend the weekend?- Strength: Today we are using accommodating resistance for a Conventional Deadlift max. AR forces us to be aggressive through full ROM. Be aggressive and shoot for 80% of your current 1RM deadlift (with no band).SPEND 25 MINS1) Deadlift against a band: Heavy 1. Rest 2-3:00.- 8-10 sets building in weight- Shoot for 80% of current 1RM (no band)- Drape band over the bar- 400+# DL use your second heaviest band- 300+# DL use a next heaviest band- Less 300# DL use lighter band than 300+#- Beginner: No Band, 5 x 5, adding weight if form permits. Reset on each rep. Rest 2:002) Squat Cleans + Burpees: Take 5 Minutes and prepare for Metcon. Rest as needed.",325,"325","Load","","[{""success"":true,""load"":325}]","",RX,
04/02/2018,"Adrenaline","- Metcon: Benchmark workout where the score is total reps completed (like an Open workout). The challenge is maintaining breathing with global movement patterns. Scaling is very important as this is an easy workout to ""redline"" on. Scores will range, but an advanced score is 60+ reps.""Adrenaline""AMRAP 8 of ascending reps:2 Burpee Box Jumps (24, 20)2 Squat Cleans (135, 95)4 Burpee Box Jumps4 Squat Cleans6 Burpee Box Jumps6 Squat CleansAnd so on adding 2 reps each round. Score = total reps completedL3: (115, 75)L2: (20, 15) (95, 65)L1: (Burpees) (75, 55)Beginner Option:4 Rounds, Rest 60s:6 Burpees6 Russian KBS6 Goblet Squats",50,"50","Reps","","[{""reps"":50}]","",RX,
04/04/2018,"METCON","QoD: What is your favorite music?- Metcon: Today is about pacing and breathing. Your effort should NOT exceed 70% which means you should be able to maintain your splits for almost all of your completed rounds. Remember, its important to focus on lower-effort quality work and not try to kill yourself with every workout. Today is the day to do that.SKILL: Spend 5 minsReview Alternating DB Snatches and DB Thrusters x 5:00AMRAP 30:Row 500 MetersRun 400 Meters18 Alt. DB Snatch (50, 30)12 DB Thrusters (50, 30)L3: (40, 25)L2: (30, 20)L1: (25, 15)*Alternate Scaling OptionsRowing = 800 meter run instead of 400m Run or 90s Bike or Ski ErgEXTRA CREDIT (55:00 - 60:00)2 Rounds of:50 Seated Banded Rows30s Max X-Band Walks (left + right)20 Alt. DB Curls (10 each)No rest between sets.",3.85,"3+850","Rounds + Reps","","[{""rnds"":3,""reps"":850}]","35lb dumbbell ",SCALED,
04/06/2018,"STRENGTH","QoD: What do you want your tombstone to say?- Strength: Week 2 of Speed Bench Work. Your weight should be exactly the same as last week to ensure we are being as explosive as possible each set. It may be feel light, but you actually utilize more high threshold motor units by moving weight as fast as possible so dont underestimate the value of this work.Spend 20 mins1) Speed Bench Press: 9 x 3 @50%, every 60s.- Change Grip every 3 sets ie. close, medium, and wide grip.- Use chains or bands if possible and drop the load to 40%.2) Metcon Warm-up/Prep x 2-3 rounds of:1a) Hang Power Clean + Push Press x 3 + 2. Rest 30s.1b) Overhead Squat x 3. Rest 30s.1c) T2B x 5. Rest 30s.",115,"115","Load","","[{""success"":true,""load"":115}]","",RX,
04/06/2018,"Johnny Cash","- Metcon: Todays metcon is going to challenging you from multiple perspectives both mentally and physically. Be careful with your weight choice today as this is an easy one to underestimate. Start with 70% of max effort and work on increasing your pace each set.""Johnny Cash""4 RFT:15 T2B15 Hang Power Cleans (115, 75)15 Push Press (115, 75)15 Box Jumps w. Step Down (24, 20)15 Overhead Squats (115, 75)Rx+:(135, 95)L3: (95, 65)L2: (Knee Lifts) (75, 55) (20, 15)L1: (Knee Lifts) (65, 35) (20, 15 Step-ups) (53, 35 Goblet Squat for OHS)21:00 Cap",1260,"21:00","Time","","[{""secs"":0,""mins"":21}]","L3 made it through 3 rounds and 12 t2b",SCALED,
04/07/2018,"METCON","QoD: Have you ever been pulled over? When was the last time?- Metcon: Todays Metcon has a little bit different twist. Youll be working in teams of 4, but all athletes will be working at the same time in the first EMOM part of the workout. Youll accumulate max reps at each station. Youll get a chance to go through each movement 6 times. The remainder of the workout is a ""Carry Relay"" each variation worth 5 points for each 50 meter interval completed. You can choose between Farmer Carry or Front Rack carry, but try to mix them evenly.In teams of 4:EMOM 24:Minute 1: Max Walballs (20, 14)Minute 2: Max Shuttle Runs (50 meter intervals)Minute 3: Max KBS (53, 35)Minute 4: Max Burpee Pull-ups*All 4 athletes working. When the 60s is up they will rotate stations. Score = total reps completed.Rest 2:00AMRAP 10 in the same team of 4:Carry Relay- Front Rack Carry (53, 35)- Farmer Carry (53, 35)*Score total = total reps + points (5 for each 50m interval)L2: (14, 10) (45, 25) (Burpees)L1: (10, 8) (35, 25 Russian Swings) (Squat Thrusts)D) EXTRA CREDIT (50:00 - 60:00)10 Minutes of Zone 1 Recovery Work- Bike, Rower, Ski Erg or Jog",991,"991","Reps","","[{""reps"":991}]","",RX,
04/09/2018,"Zercher Box Squat","QoD: Do you know your heritage?- Strength: Build to a max Zercher Box Squat in 8-10 sets. If youve done this before, use the same exact box height (or same as you used on 2RM test on 12/18/17). Remember to sit back on the box while keeping your back tight then explode up. Although this movement looks unorthodox to be open-minded because youll be surprised how effectively this movement hits your quads/upper-back.35 mins1) Zercher Box Squat: 1RM. Rest 2:00*Start by performing 3 sets of 3 adding weight each set then start your sets of 1.- Use a 13-15"" Box- 8-10 Singles to Build to a Max- We performed a 2RM on 12/18/17- Have spotters on both sides of the bar- Beginner: 5 x 5, adding weight if form permits. Rest 2:00*Compare to 4/3 & 7/172) Bear Complex: Take 10 Minutes and warm-up performing singles + 3 lateral burpees after each set to get heart-rate up. Rest as needed between sets.",265,"265","Load","","[{""success"":true,""load"":265}]","",RX,
04/09/2018,"Bear Grylls","- Metcon: Benchmark workout is last done 11/17/17. This workout is all about starting out with a comfortable 400m ""Bear Grylls""In 7:00400 Meter RunRemaining time: Max Bear Complex (135, 95)- Squat Clean Thruster + Back Squat Thruster*Score = total reps.L3: (115, 75)L2: (95, 65)L1: (75, 55)Beginner Option: DB Man Makers*Compare to 11/17",14,"14","Reps","","[{""reps"":14}]","115",SCALED,
04/11/2018,"METCON","- GPP: Todays workout will likely challenge you more than you like since the loaded carries will really conflict with breathing. Try to maintain 80% effort on each interval keeping your row distances the same for every 60s interval.Every 3:00 x 7 Sets:Row x 60s for DistanceUnilateral Carry (1 kb farmer, 1 kb front rack) x 60s*Score = total distance on the Rower",0,"2198","Other / Text","","[{""other"":""2198""}]","53# kb’s",RX,
04/11/2018,"SKILL","QoD: What is the biggest lesson you never learned?- Skill: Spend 15 Minutes performing technique work with the full snatch today. Keep loads light and focus on positioning.Olympic Lifting Skill WorkSquat Snatch*Spend 15 minutes working on skill with light loads performing sets of 2-3 reps per set resting 90s between sets.",115,"115","Load","","[{""success"":true,""load"":115}]","",RX,
04/12/2018,"STRENGTH","QoD: What’s the most immature thing that you do?- Strength: Final week of Front Squat/Sumo Deadlift. Loading today may be a little slower than last week, but overall you should still be able to be efficient on each set. Take 3 sets to warm-up. This work should be done every 45-60s and fast-paced.Spend 25 mins1) Speed Front Squat: 3 x 3 @80%, every 60s.2) Ultra Wide Sumo Deadlift: 3 x 3 @80%, every 60s.- Reset on each rep.- Beginner: Focus on Technique- Make sure your athletes are gripping the bar correctly (hand touching the knurling).3) 1 Round of:8 Touch n go deadlifts with metcon weight8 Lateral Burpees10s Max Effort Bike",215,"215","Load","","[{""success"":true,""load"":175},{""success"":true,""load"":215}]","",RX,
04/12/2018,"Batwings","- Metcon: Testing piece today should be completed as fast as possible, 90% effort throughout with the lateral burpees done at near maximal effort. Deadlifts should be capable of being done in 3 sets or less.""Batwings""For time:30 Calorie Bike30 Deadlifts (225, 155)30 Lateral BurpeesL3: (185, 125)L2: (155, 105)L1: (60s Max Cals on Bike) (135, 95) (Regular Burpees or Squat Thrusts)*Alternate ScalingBike = 45 Calorie Row or 30 Cal Ski Erg or 400m Run9:00 Cap",467,"7:47","Time","","[{""secs"":47,""mins"":7}]","That bike is the devil👺",RX,
04/12/2018,"Batwings","”Batwings”For time:30 Calorie Bike30 Deadlifts (225, 155)30 Lateral BurpeesL3: (185, 125)L2: (155, 105)L1: (60s Max Cals on Bike) (135, 95) (Regular Burpees or Squat Thrusts)*Alternate ScalingBike = 45 Calorie Row or 30 Cal Ski Erg or 400m Run9:00 Cap",467,"7:47","Time","","[{""secs"":47,""mins"":7}]","",RX,
04/16/2018,"Isabel","- Metcon: Benchmark workout ""Isabel"". This workout is individually based in terms of how you approach this. If youre strong with snatches and efficient with Touch n go, then perform big sets and go all out. If not, performing fast singles is another option. Either way, this workout should not take longer than 6 minutes to complete and is intended to be done at near maximal effort.For time:""Isabel""30 Power Snatches (135, 95)L3: (115, 75)L2: (95, 65)L1: (75, 55)7:00 CapBeginner MetconAMRAP 6:6 Cals Assault Bike or 6 Burpees10 Deadlifts (95, 65)",210,"3:30","Time","","[{""secs"":30,""mins"":3}]","95 lb Barbell. ",SCALED,PR
04/16/2018,"STRENGTH","QoD: How do you hope you’ll change as a person in the future?- Strength: Work up to a heavy cluster set of Power Snatch. The purpose of cluster sets is to use intra-set rest to ensure we are recovered before each effort. This allows us to refine technique and work with heavier loads.1) Power Snatch Cluster Sets: Build to a heavy set of 1.1.1 (10s). Rest 2:00- Complete 1 rep, drop + rest 10s until youve done this for 3 reps. Rest 2:00 after all 3 cluster reps.- Take 7-8 total sets and build in weight- Int: Stick with a moderate weight for all sets- Beginner: Light weight power snatches x 3 reps per set.- For more on ""cluster sets"" click here2) Touch N Go Power Snatch: Drop your loading and focus on cycling sets of 3 for 3 sets at max effort. Rest 60s.",125,"125","Load","","[{""success"":true,""load"":125}]","",RX,
04/18/2018,"SKILL","QoD: What are some of your personal “rules” that you never break?- Skill: Spend 10 minutes on refining your pull-ups today with whatever style you choose. If youre still new to the ""kip"" well spend the time learning how to perform that first before adding the pull-up to the equation.10 minsPull-up Skill Work- Spend 10 Minutes working on improving your athletes efficiency with- Kipping Pull-ups- Butterfly Pull-ups- Kipping C2B- Butterfly C2B",0,"🦉","Other / Text","","[{""other"":""🦉""}]","",RX,
04/18/2018,"Metcon","- Metcon: Todays metcon should be LOW effort. What that means to you is that all work should be broken up and your first 800m Run should be the same speed as your last 800m Run even after all of the work that you will have completed. Find a pace that is around 70% (lower than yesterday) and maintain. Focus on your breathing and efficient pacing NOT your overall time.For time:800 Meter Run50 Pull-ups50 Air Squats150 Double Unders50 Air Squats50 Renegade Rows (50s, 30s)800 Meter Run25:00 CapRx+:(C2B Pull-ups) (1st set of Air Squats perform 50 Alt. Pistols)L2: (Band Assisted Pull-ups) (100 Double Unders) (40, 25)L1: (Ring Rows) (100 Single Unders) (30, 20)",1283,"21:23","Time","","[{""secs"":23,""mins"":21}]","Run felt greatPull-ups sucked Air squats 40/10Singles with dub attempts mixed inAir squats 20/10/20Swapped second run and rows ",SCALED,
04/23/2018,"The Chief","- Metcon: Benchmark workout. Each interval should remain around 80-85% of max effort. Come up with a strategy to sustain for your 3 minute amraps to be consistent for all 5 sets.""The Chief""AMRAP 3:3 Power Cleans (135, 95)6 Push-ups9 Air SquatsRest 1 minute. Repeat for a total of 5 cycles.*Score = Lowest AMRAP score.L3: (115, 75)L2: (95, 65) (Box Push-ups)L1: (95, 65 Deadlifts) (Box Push-ups)*Compare to Mon Aug 28th & Mon Dec 4th",4,"4","Rounds + Reps","","[{""rnds"":4,""reps"":0}]","Mean: 4Median: 4Mode: 4Standard deviation: 0🤓",RX,
04/23/2018,"STRENGTH","QoD: What did you learn that you never use or apply?- Strength: The purpose of using a ""wave"" is to prime the CNS for heavier sets. Use the first wave of 3-2-1 to prepare you for the last wave of 3-2-1 which should be heavier. All that 3-2-1 means is your first set is 3 reps, rest 2:00, your second set is 2 reps, rest 2:00 and so on.20 mins1) Front Squat Wave: 3-2-1-3-2-1. Rest 2:00 after each set.*An example of this wave may look something like: 3@60%, 2@70%, 1@80%, 3@80%, 2@85%, 1@90%.*Just to be clear your athletes are resting 2:00 between each set. ie. 3 is one set, 2 is one set and so on.*This does NOT need to be a max, but should be based off of feel.Beginner: 5 x 5, adding weight if form permits. Rest 2:002) Metcon Prep:2-3 Sets of:2 Power Cleans (touch n go)4 Burpees6 Air Squats@game speed. Rest 90s between sets.",185,"185","Load","","[{""success"":true,""load"":185}]","",RX,
04/25/2018,"METCON","- Metcon: Conditioning Benchmark. This should be a sustainable pace that you can maintain for the entire 24 minutes without stopping. Record total distance.METCONMax Distance Run in 24:00*This a benchmark endurance piece.*Alternate ScalingMax Distance Row or Bike in 24 MinutesEXTRA CREDITAccumulate:75-100 Banded Pulldowns75-100 Banded Leg Curls each75-100 Banded Pushdowns",0,"6044","Other / Text","","[{""other"":""6044""}]","🚣🏽‍♀️🚣🏽‍♀️🚣🏽‍♀️🚣🏽‍♀️ and more 🚣🏽‍♀️",SCALED,
04/25/2018,"GPP","QoD: DO YOU COUNT YOUR STEPS?- GPP: Grab two KBs, one light and one heavy. We are working for 8 minutes with minimal rest. If you find one side is stronger than the other with the front rack carry try to favor the weaker side.GPP Unilateral Farmer Carry: 8 Minutes x Max 50 Meter Trips*Front Rack + By your side",0,"400","Other / Text","","[{""other"":""400""}]","53/35",RX,
04/26/2018,"Fran","- Metcon: Today well partner up and judge each other for Fran. Try to beat your previous time just slightly.21-15-9 reps for time of:• Thruster 95/65#• Pull-upsL3: (75, 55)L2: (65, 35) (BA Pull-ups)L1: (45, 25) (Ring Rows)8:00 Cap*Last done 1/22",402,"6:42","Time","","[{""secs"":42,""mins"":6}]","Jumping pull-ups😾Gotta whip these pull-ups into shape. ",SCALED,
04/26/2018,"STRENGTH","QoD: WHAT’S THE FUNNIEST THING YOU’VE SEEN A KID DO?- Strength: The purpose of today is to work on force development with ""speed back squats"". There should be no grinding of reps even though we are pausing one each rep. You should be able to explode out of the hole. We are pausing for 1 count in the hole to break up the phases of the lift.Spend 20 mins1) Speed Back Squat with 1 second pause at the bottom of each rep: 5 x 5 @50-60%, every 60s.2) Metcon Prep:3 sets at game speed of:5 Thrusters5 Pull-upsRest 60-90s.",135,"135","Load","","[{""success"":true,""load"":135}]","",RX,
04/28/2018,"Mustang Sally","QoD:  WHAT’S SOMETHING THAT PEOPLE THINK MAKES THEM LOOK COOL, BUT ACTUALLY MAKES THEM LOOK RIDICULOUS?- Metcon: Come up with a strategy before starting that today that will minimize transition and allow for consistent work for the duration. Your loading choices for the snatches should be light as there is a total of 100 reps per athlete in this workout. You should be able to muscle snatch all reps.""Mustang Sally""In teams of 3 for time:100-80-60-40-20Power Snatch (75, 55)Wallballs (20, 14)Calories on the RowerRx+:(95, 65) (Cals on Assault Bike)L2: (65, 45) (14, 10)L1: (55, 35) (10, 8)*Beginner OptionEmpty Bar Hang Muscle Snatch (or PVC) for Power Snatches40:00 Cap*Alternate OptionsCalories on Assault Bike or Ski ErgEXTRA CREDIT1a) Banded Alphabets: 2 x 1 set on each side.1b) Banded Pull-through: 2 x 20-25. Rest 30s.",2289,"38:09","Time","","[{""secs"":9,""mins"":38}]","Partners with Devin and Kar",RX,
04/30/2018,"STRENGTH","QoD: WHAT’S THE FUNNIEST NAME YOU CAN THINK OF FOR A PET?- Strength: Today we are working for a max in a deadlift with the plates slightly elevated (on 25# plates). This will allow us to work slightly heavier than normal and reinforce good starting position. This was last done on 12/2925 mins1) Sumo Deadlift off 2"" plates: 1RM. Rest 2:00- If you have chains, use them.- Plates are elevated 2"" off the floor with either 25# plates or mats.- Beginners: 5 x 5, 2"" off the floor adding weight if form permits. Rest 2:002) Squat Snatch: Warm-up performing sets of 2 work slight above desired metcon weight.",395,"395","Load","","[{""success"":true,""load"":395}]","",RX,
04/30/2018,"Bookie","- Metcon: Todays benchmark workout is 100% strategy. Your pace for your burpees will be the difference maker and determine how fast you can knock out your squat snatches. The loading for the squat snatches should be moderate-light where you can complete fast singles, the same weight you used for ""Isabel"".""Bookie""For time:60 Bar Facing Burpees21 Squat Snatches (135, 95)*9:00 CapRx+:(155, 105)L3: (115, 75)L2: (95, 65)L1 Metcon:For time:45 Burpees45 DB Thrusters (light)",540,"9:00","Time","","[{""secs"":0,""mins"":9}]","30 @ 3:1560 @ 6:3510 squat snatches @ 95",SCALED,
05/05/2018,"METCON","QoD: Do you think that aliens exist?- Metcon: Todays workout will likely challenge you in a new way because of the OH KB Lunges, but overall pacing should remain around 80%. Break work up however you see fit and work on being efficient with your pull-ups.C) PREP (13:00 - 23:00)Metcon Prep2 Rounds of:5 Pull-ups10 KBS (metcon weight)10 Walking OH Lunges (5 each)Rest as neededAMRAP 30 w. a partner:20 Pull-ups40 KBS (53, 35)40 Walking Single OH KB Lunges (53, 35)800 Meter RunRx+:(C2B Pull-ups)L3: (45, 25)L2: (Band Assisted Pull-ups) (Goblet Lunges)L1: (Ring Rows) (Light Walking DB Lunges)EXTRA CREDITUpper Back FinisherWith one light band complete:50 Banded Face Pull-aparts50 Banded Pull-Downs50 Banded Pull-aparts*All without stopping",3.08,"3+80","Rounds + Reps","","[{""rnds"":3,""reps"":80}]","",SCALED,
05/07/2018,"STRENGTH","QoD: What’s the most interesting building you’ve ever seen or been in?- Strength: Work up to a 3RM in box squat. This is the same technique as our speed box squats, ie. sit-back on the box while staying tight. Make sure you have two spotters, one on each side of the bar.Spend 251) Regular Stance High Box Squat: 3RM. Rest 2:00*Use at 15-18"" Box*Spotters on both sides of the bar**Beginner: 5 x 5 adding weight each set if possible.2) Metcon Prep2-3 Rounds of:4 Deadlifts4 HSPU10 WallballsRest 60-90s between sets.",305,"305","Load","","[{""success"":true,""load"":305}]","",RX,
05/07/2018,"Blue Steel","- Metcon: New benchmark workout today that involves two movements that youll likely be able to push hard on and one movement that youll need to be more strategic about. With that said, you should be able to complete deadlifts/wallballs in less than 3 sets and HSPU will likely need to be broken up early.""Blue Steel""For time:21-15-9Deadlifts (225, 155)Wallballs (20, 14)HSPURx+:(30, 20) (Strict HSPU)L3: (185, 125)L2: (155, 105) (Push-ups)L1: (135, 95) (Box Push-ups)12:00 Cap",645,"10:45","Time","","[{""secs"":45,""mins"":10}]","225 deadlift20lb wallball35lb seated shoulder press",SCALED,
05/09/2018,"Metcon","- Metcon: Todays workout is intended to be nearly 100% aerobic. Your goal should be to complete your work at around 70% effort today where all of your splits stay within 30s of each other. Today is also a good day to focus on dialing in your pose running mechanics.-5 Rounds of:Run 400 Meters20 Ground to Overhead with a plate (45, 25)12 Burpees to your PlateL3: (35, 15)L2: (25, 10)L1: (4 Rounds) (200-400m Run) (15, 10) (10 Burpees)22:00 Cap",1320,"22:00","Time","","[{""secs"":0,""mins"":22}]","250m into the 5th round.That was a fun as a 🥜🥊",RX,
05/09/2018,"SKILL","QoD: What was the most unsettling film you’ve seen?- Skill: We are going through 3 different static gymnastic holds today for 3 rounds.Spend 10Gymnastics Skill Work3 Rounds for Quality:10s L-Sit Hold10s Ring Support20s Handstand Hold or Walk",0,"🧘🏼‍♂️","Other / Text","","[{""other"":""🧘🏼‍♂️""}]","",RX,
05/11/2018,"STRENGTH/SKILL","QoD: What’s the funniest actual name you’ve heard of someone having?- Strength: Week 1 of Speed Close Grip Bench Press. All sets should be fast with zero hesitation. No one should be struggling with any of their sets of close grip bench press.Spend 201a) Speed Close Grip Bench Press: 5 x 5 @50-60%, every 30s.1b) Banded Pulldowns: 5 x 10. Rest 30s.",135,"135","Load","","[{""success"":true,""load"":135}]","",RX,
05/11/2018,"JACK","- Metcon: Hero Workout ""Jack"" today. This workout is largely about managing volume and breaking sets before you have to. Pacing should be around 75% with the final 2 minutes elevating your pacing to 90%.""Jack""AMRAP 20:10 Push Press (115, 75)10 KBS (53, 35)10 Box Jumps (24, 20)L3: (95, 65) (45, 25)L2: (75, 55) (35, 25) (20, 15)L1: (65, 35) (35, 25 Russian Swings) (20, 15 Step-ups)",8.005,"8+5","Rounds + Reps","","[{""rnds"":8,""reps"":5}]","95lb barbell53lb kb ",SCALED,
